
,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
ID,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
IL,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
IN,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
KS,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
KY,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
LA,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MA,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MD,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
ME,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MI,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MN,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MO,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MS,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
MT,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NC,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
ND,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NE,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NH,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NJ,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NM,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NV,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
NY,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
OH,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
OK,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
OR,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
PA,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
RI,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
SC,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
SD,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
TN,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
TX,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
UT,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
VA,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
VT,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
WA,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
WI,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
WV,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
WY,327.702,328.282,329.005,330.122,331.354,332.454,334.222,335.812,336.284,337.451,338.671,339.997,341.241,342.604,344.607,346.618,348.389,350.58,352.967,354.935,357.264,359.704,362.093,364.195,366.868,369.585,372.51,374.971,376.636,378.776,380.594,382.226,383.221,385.433,386.435,387.892,389.433,391.896,393.906,396.174,397.539,399.274,400.234,401.545,403.257,404.133,405.287,406.25,407.242,409.153,410.635,411.99,413.389,414.689,415.455,416.271,417.902,418.598,,418.593,420.134
