,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-11,2025-12
IA,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
ID,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
IL,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
IN,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
KS,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
KY,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
LA,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
MA,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
MD,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
ME,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
MI,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
MN,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
MO,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
MS,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
MT,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
NC,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
ND,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
NE,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
NH,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
NJ,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
NM,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
NV,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
NY,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
OH,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
OK,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
OR,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
PA,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
RI,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
SC,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
SD,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
TN,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
TX,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
UT,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
VA,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
VT,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,292.644,294.605,298.403,300.325,302.939,306.453,305.916,306.855,307.152,308.001,308.394,308.15,310.323,311.986,311.243,311.848,312.241,313.329,313.952,315.441,316.373,316.3,316.252,316.143,318.133,319.577,321.741,323.035,324.439,325.271,325.339,326.14,327.156,327.421,327.277,327.24,329.989,332.009,332.049,333.065,333.531,335.078,335.656,336.936,337.321,337.284,337.88
WA,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
WI,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,294.404,295.232,296.227,296.688,297.342,299.529,299.836,300.753,301.579,300.771,300.404
WV,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.16,268.36,269.263,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,288.836,288.991,288.205,290.438,292.285,293.358,295.315,295.889,296.789,297.279,298.975,299.657,299.394,298.93,298.754,300.421,303.144,304.49,305.104,305.296,305.357,305.819,305.761,306.078,306.889,306.877,307.007,308.911,309.987,310.183,311.087,311.514,312.33,312.771,313.558,314.35,313.597,313.675
WY,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,317.299,315.919,314.599,317.477,319.13,320.715,322.187,323.525,324.448,324.865,326.234,327.491,327.708,326.299,325.932,328.053,329.339,332.202,334.05,334.292,333.662,333.174,333.442,334.265,334.558,334.218,334.084,335.989,337.868,339.627,341.159,342.343,342.613,343.234,344.096,345.294,344.339,343.789
